Year,Semester,Link
2018,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1188/seating_availability.html?subject=AEROS
2019,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1194/seating_availability.html?subject=AEROS
2019,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1196/seating_availability.html?subject=AEROS
2019,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1198/seating_availability.html?subject=AEROS
2020,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1204/seating_availability.html?subject=AEROS
2020,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1206/seating_availability.html?subject=AEROS
2020,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1208/seating_availability.html?subject=AEROS
2021,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1214/seating_availability.html?subject=AEROS
2021,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1216/seating_availability.html?subject=AEROS
2021,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1218/seating_availability.html?subject=AEROS
2022,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1224/seating_availability.html?subject=AEROS
2022,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1226/seating_availability.html?subject=AEROS
2022,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1228/seating_availability.html?subject=AEROS
2000,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1004/seating_availability.html?subject=ANES
2000,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1006/seating_availability.html?subject=ANES
2000,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1008/seating_availability.html?subject=ANES
2001,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1014/seating_availability.html?subject=ANES
2001,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1016/seating_availability.html?subject=ANES
2001,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1018/seating_availability.html?subject=ANES
2002,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1024/seating_availability.html?subject=ANES
2002,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1026/seating_availability.html?subject=ANES
